n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
10,3,0.3454545631622545,0.1985623381220033,1.7397788846959281,0.24049405560528658,0.053135058017417976,0.8666666666666667,0.9515151515151515,False,0.8222222222222222,0.9151515151515152,False,0.8666666666666667,0.9515151515151515,False
6,4,0.4882098380459349,0.20447733571356375,2.3875987836981705,0.37796134897935046,0.18584192415250794,0.8666666666666667,0.9428571428571428,False,0.6,0.7714285714285715,False,0.8666666666666667,0.9428571428571428,False
6,3,0.5809694558725234,0.4966007868986576,1.1698923384708877,0.06814589682361287,0.03854599243112045,0.8666666666666667,0.9428571428571428,False,0.8666666666666667,0.9428571428571428,False,1.0,1.0,True
6,5,0.29815175241710107,0.025002695942467977,11.924784154926064,1.0764505268171471,0.4002201489962227,0.4666666666666667,0.7142857142857143,False,0.2,0.4285714285714286,False,1.0,1.0,True
4,5,0.541740320118999,0.2246505898252281,2.4114796250392505,0.382283596852799,0.09602360935146698,0.0,0.19999999999999996,False,0.3333333333333333,0.4,False,1.0,1.0,True
4,5,0.770426957376106,0.02534506707355911,30.397511086070306,1.48283802552202,0.17835617694773143,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
8,3,0.1572637863676379,0.026520722240860786,5.929845534878003,0.7730433806789605,0.3292168123619703,0.5,0.6666666666666667,False,0.5,0.6666666666666667,False,0.7142857142857143,0.8809523809523809,False
8,5,0.19938053247089854,0.028114690686037006,7.091685079887008,0.8507494416632295,0.3078160270655662,0.7142857142857143,0.7619047619047619,False,0.42857142857142855,0.5952380952380952,False,1.0,1.0,True
8,5,0.25854541275483695,0.17651860779087597,1.4646921137043782,0.1657463432076073,0.04348513483265047,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
8,5,0.46346527364919643,0.06546625983699622,7.079452450714222,0.8499996691545725,0.16783055860927254,0.7142857142857143,0.8333333333333334,False,0.9285714285714286,0.9761904761904762,False,0.9285714285714286,0.9761904761904762,False
6,5,0.07273193057575485,0.019229832850237064,3.7822445539913248,0.5777496062158559,0.2887651997188024,0.7333333333333333,0.8285714285714285,False,0.7333333333333333,0.8285714285714285,False,1.0,1.0,True
5,3,0.27996033181283386,0.053213843999894136,5.261043194100576,0.7210718674467549,0.24811661647965957,1.0,1.0,True,0.8,0.9,False,1.0,1.0,True
8,4,0.4880683662735738,0.178761735358465,2.7302731498557904,0.43620609815462735,0.14683611738186395,0.7857142857142857,0.9047619047619048,False,0.9285714285714286,0.9761904761904762,False,1.0,1.0,True
6,5,0.7368109823943475,0.06911834150564299,10.660136894684204,1.0277627818222808,0.35337095544140534,0.6,0.7714285714285715,False,0.6,0.7714285714285715,False,0.6,0.7714285714285715,False
